Date,Open,High,Low,Close
2022-10-03,3440.0,3460.05,3110.2,3157.3
2022-10-04,3230.0,3291.2,3125.0,3237.7
2022-10-06,3270.0,3318.8,3208.05,3285.0
2022-10-07,3280.0,3310.95,3228.15,3277.6
2022-10-10,3234.0,3278.75,3214.35,3246.25
2022-10-11,3257.55,3338.0,3249.0,3273.95
2022-10-12,3297.0,3297.0,3145.0,3223.65
2022-10-13,3218.0,3262.8,3189.0,3233.65
2022-10-14,3272.0,3305.0,3194.85,3209.5
2022-10-17,3211.0,3235.0,3136.1,3212.6
2022-10-18,3249.0,3298.0,3226.1,3284.3
2022-10-19,3300.0,3310.0,3259.65,3277.25
2022-10-20,3260.0,3365.0,3245.0,3357.1
2022-10-21,3374.9,3382.0,3287.0,3311.9
2022-10-24,3325.0,3340.1,3287.4,3309.8
2022-10-25,3321.95,3345.0,3294.0,3300.5
2022-10-27,3319.85,3355.0,3297.0,3325.0
2022-10-28,3322.0,3387.95,3297.65,3323.3
2022-10-31,3339.95,3360.0,3326.1,3347.45
