Date,Open,High,Low,Close
2022-10-03,821.0,834.4,773.15,784.4
2022-10-04,804.0,826.3,790.1,823.05
2022-10-06,832.9,835.0,822.3,824.1
2022-10-07,821.0,826.0,806.35,816.9
2022-10-10,807.5,813.95,799.0,808.1
2022-10-11,814.0,820.6,795.25,797.35
2022-10-12,801.0,806.5,786.35,803.9
2022-10-13,807.0,811.75,777.0,784.75
2022-10-14,804.0,806.6,778.25,780.1
2022-10-17,782.1,789.95,771.65,786.2
2022-10-18,791.45,815.0,790.5,809.95
2022-10-19,814.0,823.45,801.15,805.05
2022-10-20,801.0,822.25,795.05,820.05
2022-10-21,824.2,824.2,799.4,801.65
2022-10-24,808.0,810.0,802.0,805.5
2022-10-25,806.7,812.75,797.1,800.35
2022-10-27,805.0,824.0,795.0,821.25
2022-10-28,824.0,834.8,817.3,820.3
2022-10-31,824.0,831.0,819.5,823.55
