Date,Open,High,Low,Close
2022-10-03,4385.0,4490.0,4350.95,4365.2
2022-10-04,4430.0,4444.55,4365.2,4404.4
2022-10-06,4426.45,4450.0,4361.3,4390.5
2022-10-07,4379.6,4433.0,4353.55,4394.1
2022-10-10,4375.0,4420.0,4295.0,4340.6
2022-10-11,4362.35,4362.35,4263.65,4275.55
2022-10-12,4280.0,4350.0,4245.0,4287.05
2022-10-13,4270.1,4317.95,4236.0,4266.05
2022-10-14,4301.0,4324.0,4264.05,4297.15
2022-10-17,4290.0,4300.55,4221.05,4290.85
2022-10-18,4325.0,4377.0,4258.0,4366.0
2022-10-19,4380.0,4405.9,4341.1,4388.75
2022-10-20,4384.0,4393.3,4295.2,4322.5
2022-10-21,4344.15,4430.0,4322.7,4389.05
2022-10-24,4410.2,4435.0,4320.0,4410.15
2022-10-25,4437.8,4449.9,4372.0,4404.05
2022-10-27,4445.0,4499.0,4402.85,4431.85
2022-10-28,4454.25,4584.0,4415.0,4567.0
2022-10-31,4582.1,4625.0,4491.5,4517.5
