Date,Open,High,Low,Close
2022-10-03,731.0,742.0,721.05,722.75
2022-10-04,733.4,744.5,732.0,742.8
2022-10-06,750.0,760.4,746.0,755.1
2022-10-07,753.8,757.5,742.3,755.7
2022-10-10,748.0,778.7,745.0,776.85
2022-10-11,780.0,795.5,774.5,785.55
2022-10-12,789.5,810.8,783.45,808.7
2022-10-13,807.0,814.95,795.6,802.0
2022-10-14,815.55,820.7,794.45,800.5
2022-10-17,803.5,817.0,797.1,814.15
2022-10-18,820.0,822.9,811.55,816.35
2022-10-19,818.45,838.45,816.9,829.85
2022-10-20,824.9,831.9,816.95,825.85
2022-10-21,860.1,906.0,855.85,900.4
2022-10-24,916.0,918.45,905.0,909.45
2022-10-25,905.7,910.6,891.6,902.85
2022-10-27,909.0,919.95,901.25,915.15
2022-10-28,915.0,917.95,898.9,903.05
2022-10-31,908.0,918.0,902.1,906.0
