Date,Open,High,Low,Close
2022-10-03,3527.75,3559.9,3475.0,3515.35
2022-10-04,3550.5,3599.9,3539.2,3579.6
2022-10-06,3597.5,3617.15,3570.0,3594.65
2022-10-07,3580.05,3668.9,3580.0,3603.55
2022-10-10,3557.35,3624.9,3529.05,3616.95
2022-10-11,3635.05,3635.05,3519.6,3528.75
2022-10-12,3546.4,3653.0,3515.85,3624.5
2022-10-13,3616.85,3648.8,3590.0,3604.8
2022-10-14,3659.95,3663.0,3552.15,3570.5
2022-10-17,3580.0,3674.8,3578.0,3629.0
2022-10-18,3647.15,3664.85,3602.1,3611.3
2022-10-19,3629.4,3716.95,3623.75,3655.85
2022-10-20,3629.35,3703.9,3586.0,3691.85
2022-10-21,3699.0,3720.35,3641.75,3668.6
2022-10-24,3715.0,3720.0,3680.0,3699.8
2022-10-25,3699.0,3727.0,3644.0,3654.1
2022-10-27,3690.6,3690.6,3606.15,3622.3
2022-10-28,3640.45,3719.0,3631.0,3670.7
2022-10-31,3689.1,3706.35,3659.1,3671.85
