Date,Open,High,Low,Close
2022-10-03,1686.0,1686.0,1638.0,1646.6
2022-10-04,1682.0,1705.0,1670.05,1701.15
2022-10-06,1718.0,1724.15,1694.9,1710.55
2022-10-07,1708.0,1709.85,1684.5,1699.0
2022-10-10,1675.3,1693.95,1657.0,1684.4
2022-10-11,1684.4,1707.05,1665.0,1672.65
2022-10-12,1681.05,1701.6,1667.4,1694.65
2022-10-13,1692.95,1694.55,1666.45,1681.75
2022-10-14,1709.0,1709.0,1685.1,1688.3
2022-10-17,1684.0,1725.0,1674.0,1719.25
2022-10-18,1730.0,1736.25,1712.0,1726.25
2022-10-19,1725.0,1731.0,1692.4,1698.8
2022-10-20,1687.0,1730.0,1676.5,1725.7
2022-10-21,1731.5,1740.4,1675.1,1684.45
2022-10-24,1712.85,1724.2,1693.0,1701.8
2022-10-25,1700.0,1700.9,1655.0,1658.55
2022-10-27,1671.65,1676.55,1621.0,1630.95
2022-10-28,1639.15,1660.5,1635.0,1653.4
2022-10-31,1665.0,1689.85,1662.15,1687.5
