Date,Open,High,Low,Close
2022-10-03,7337.0,7398.0,7144.6,7171.8
2022-10-04,7335.0,7505.0,7306.35,7488.7
2022-10-06,7550.0,7599.0,7346.9,7404.15
2022-10-07,7385.45,7407.75,7272.25,7345.15
2022-10-10,7265.0,7338.0,7221.0,7293.4
2022-10-11,7307.0,7352.5,7172.6,7202.8
2022-10-12,7205.0,7258.5,7145.0,7226.2
2022-10-13,7220.5,7226.0,7114.7,7151.65
2022-10-14,7300.0,7345.0,7221.0,7272.5
2022-10-17,7254.95,7372.3,7217.0,7355.2
2022-10-18,7400.0,7430.0,7321.0,7390.4
2022-10-19,7417.0,7440.0,7350.0,7380.4
2022-10-20,7369.95,7449.0,7261.0,7432.4
2022-10-21,7490.0,7490.0,7153.05,7192.75
2022-10-24,7310.0,7310.0,7190.0,7206.5
2022-10-25,7242.55,7242.55,7090.0,7102.9
2022-10-27,7186.0,7210.0,6931.0,6971.1
2022-10-28,7000.0,7090.0,6980.0,7006.85
2022-10-31,7094.0,7149.6,7046.0,7144.1
