Date,Open,High,Low,Close
2022-10-03,803.4,815.55,798.05,803.35
2022-10-04,813.0,816.75,807.5,808.7
2022-10-06,810.55,815.85,786.65,788.6
2022-10-07,792.0,796.8,784.7,793.1
2022-10-10,784.95,794.8,779.7,792.35
2022-10-11,797.5,797.5,776.0,780.3
2022-10-12,780.3,781.35,769.2,775.55
2022-10-13,775.0,779.0,767.65,768.9
2022-10-14,779.95,779.95,763.05,765.95
2022-10-17,761.0,771.0,759.85,766.0
2022-10-18,769.85,785.6,768.65,783.15
2022-10-19,787.95,788.65,779.5,783.4
2022-10-20,782.0,794.0,778.3,792.9
2022-10-21,790.0,802.85,789.75,797.45
2022-10-24,800.0,807.5,800.0,802.1
2022-10-25,806.15,806.35,798.7,802.3
2022-10-27,806.5,822.2,804.2,817.1
2022-10-28,819.0,824.4,811.3,816.85
2022-10-31,823.0,833.8,820.0,832.0
