Date,Open,High,Low,Close
2022-10-03,306.35,311.25,304.8,308.8
2022-10-04,311.0,314.2,310.25,311.45
2022-10-06,313.05,314.8,309.4,312.15
2022-10-07,310.2,310.9,306.2,307.4
2022-10-10,306.0,306.6,302.1,304.65
2022-10-11,306.2,306.2,299.15,299.75
2022-10-12,301.05,309.25,299.35,302.5
2022-10-13,304.05,305.25,299.5,300.3
2022-10-14,303.0,305.0,297.1,297.85
2022-10-17,297.9,299.35,291.55,296.55
2022-10-18,298.05,298.3,294.05,295.75
2022-10-19,297.15,298.95,291.75,292.15
2022-10-20,292.1,299.0,288.05,297.1
2022-10-21,298.6,300.65,297.35,298.35
2022-10-24,300.0,301.75,299.55,300.75
2022-10-25,301.7,305.0,297.35,302.6
2022-10-27,302.6,306.6,302.55,305.6
2022-10-28,306.5,308.5,302.1,303.3
2022-10-31,304.85,306.0,301.4,303.65
