Date,Open,High,Low,Close
2022-10-03,3862.0,3878.2,3753.8,3768.95
2022-10-04,3807.0,3826.65,3775.55,3818.15
2022-10-06,3837.25,3847.65,3760.7,3767.55
2022-10-07,3776.0,3795.0,3732.25,3785.65
2022-10-10,3750.0,3812.0,3717.0,3797.85
2022-10-11,3816.85,3820.7,3718.0,3727.9
2022-10-12,3746.55,3774.4,3726.35,3763.0
2022-10-13,3771.5,3794.0,3748.9,3784.6
2022-10-14,3800.1,3814.9,3769.25,3796.25
2022-10-17,3801.9,3801.9,3752.55,3777.7
2022-10-18,3796.6,3804.95,3748.6,3766.85
2022-10-19,3770.0,3789.5,3742.0,3768.5
2022-10-20,3763.0,3802.9,3747.65,3790.15
2022-10-21,3793.0,3814.55,3761.6,3792.7
2022-10-24,3799.0,3835.6,3712.0,3801.85
2022-10-25,3804.0,3804.9,3690.0,3713.1
2022-10-27,3714.0,3769.9,3701.3,3755.3
2022-10-28,3767.0,3792.0,3732.0,3777.7
2022-10-31,3788.0,3800.0,3739.35,3766.55
