Date,Open,High,Low,Close
2022-10-03,1116.8,1144.9,1115.0,1130.75
2022-10-04,1138.85,1147.5,1133.0,1144.65
2022-10-06,1150.4,1150.4,1124.0,1134.45
2022-10-07,1135.0,1147.2,1129.05,1130.5
2022-10-10,1110.0,1131.5,1110.0,1118.85
2022-10-11,1121.8,1127.15,1103.8,1110.1
2022-10-12,1111.6,1118.05,1099.2,1108.45
2022-10-13,1108.4,1127.85,1101.1,1103.65
2022-10-14,1115.1,1120.0,1105.4,1108.9
2022-10-17,1108.0,1113.05,1098.8,1108.15
2022-10-18,1113.7,1130.2,1110.3,1125.85
2022-10-19,1131.5,1145.0,1119.1,1122.0
2022-10-20,1122.0,1142.0,1117.0,1136.8
2022-10-21,1136.8,1148.0,1132.5,1134.75
2022-10-24,1145.6,1150.0,1141.55,1146.9
2022-10-25,1147.0,1164.85,1146.9,1155.9
2022-10-27,1169.95,1180.1,1156.3,1165.9
2022-10-28,1169.0,1171.8,1151.0,1155.2
2022-10-31,1161.0,1177.85,1159.05,1167.4
