Date,Open,High,Low,Close
2022-10-03,213.0,218.0,212.3,214.95
2022-10-04,218.3,224.0,218.1,223.25
2022-10-06,225.0,234.1,224.65,233.5
2022-10-07,233.0,233.55,227.8,229.7
2022-10-10,227.0,232.0,226.6,229.85
2022-10-11,230.95,230.95,224.0,225.45
2022-10-12,225.55,233.0,225.55,232.1
2022-10-13,232.2,235.6,231.1,234.55
2022-10-14,238.95,238.95,235.35,236.35
2022-10-17,236.35,238.55,232.9,238.0
2022-10-18,238.5,242.15,236.85,241.7
2022-10-19,242.0,243.0,237.0,238.2
2022-10-20,237.0,242.5,233.6,241.0
2022-10-21,241.0,241.35,238.05,238.7
2022-10-24,240.9,241.7,240.0,240.5
2022-10-25,240.5,240.95,237.95,239.95
2022-10-27,240.95,241.6,239.0,240.9
2022-10-28,242.0,247.8,240.55,244.4
2022-10-31,246.0,247.5,243.55,245.95
