Date,Open,High,Low,Close
2022-10-03,4315.0,4439.0,4312.4,4419.65
2022-10-04,4446.0,4449.9,4376.05,4413.95
2022-10-06,4436.05,4447.95,4369.9,4397.55
2022-10-07,4390.0,4408.55,4372.0,4376.65
2022-10-10,4350.0,4388.0,4320.0,4380.0
2022-10-11,4387.0,4388.0,4252.0,4282.75
2022-10-12,4300.0,4310.0,4215.05,4241.15
2022-10-13,4249.95,4309.0,4241.3,4254.65
2022-10-14,4305.0,4340.0,4263.05,4310.8
2022-10-17,4305.0,4374.0,4282.5,4335.2
2022-10-18,4356.9,4373.65,4335.2,4356.55
2022-10-19,4360.05,4394.05,4305.05,4316.9
2022-10-20,4305.0,4355.0,4280.0,4349.05
2022-10-21,4355.0,4388.95,4308.6,4330.8
2022-10-24,4364.8,4384.0,4355.0,4377.5
2022-10-25,4389.95,4477.5,4371.0,4442.35
2022-10-27,4460.0,4519.0,4450.35,4491.2
2022-10-28,4485.0,4502.75,4430.0,4459.95
2022-10-31,4531.0,4625.0,4344.65,4433.7
