Date,Open,High,Low,Close
2022-10-03,1671.0,1681.45,1628.05,1636.45
2022-10-04,1667.8,1688.6,1651.4,1683.9
2022-10-06,1692.35,1705.0,1675.0,1683.1
2022-10-07,1675.0,1702.9,1655.0,1697.9
2022-10-10,1682.0,1687.95,1657.2,1673.95
2022-10-11,1681.2,1682.0,1637.2,1644.5
2022-10-12,1652.0,1677.0,1631.3,1671.65
2022-10-13,1670.2,1684.75,1640.0,1679.75
2022-10-14,1699.0,1715.25,1687.8,1695.55
2022-10-17,1690.0,1709.0,1675.25,1691.15
2022-10-18,1699.65,1700.7,1680.3,1688.25
2022-10-19,1691.0,1712.65,1677.5,1684.35
2022-10-20,1683.45,1694.75,1668.15,1688.95
2022-10-21,1689.95,1714.95,1669.2,1677.05
2022-10-24,1695.0,1708.0,1690.0,1699.05
2022-10-25,1696.5,1729.0,1692.9,1714.7
2022-10-27,1729.8,1740.5,1720.85,1724.45
2022-10-28,1729.9,1738.0,1671.9,1684.2
2022-10-31,1692.65,1730.0,1688.5,1721.7
