Date,Open,High,Low,Close
2022-10-03,530.55,530.55,518.05,518.7
2022-10-04,522.2,533.1,522.2,531.95
2022-10-06,535.0,539.2,528.8,529.65
2022-10-07,529.95,533.5,525.9,526.85
2022-10-10,525.8,534.5,520.0,533.2
2022-10-11,534.0,535.0,521.3,522.55
2022-10-12,520.1,528.6,520.1,526.6
2022-10-13,525.0,526.0,518.0,520.65
2022-10-14,534.4,534.4,521.8,523.0
2022-10-17,522.0,525.9,518.6,523.75
2022-10-18,526.1,532.4,523.75,531.25
2022-10-19,533.2,535.4,529.3,531.55
2022-10-20,531.0,538.0,527.0,537.2
2022-10-21,539.9,548.3,536.7,541.95
2022-10-24,546.8,547.0,539.7,541.55
2022-10-25,544.35,544.8,531.5,533.45
2022-10-27,533.0,537.95,529.65,533.0
2022-10-28,532.7,536.5,528.3,530.1
2022-10-31,532.8,541.3,532.1,540.45
