Date,Open,High,Low,Close
2022-10-03,389.0,389.45,379.1,380.95
2022-10-04,396.0,400.9,390.3,394.05
2022-10-06,402.0,413.95,399.4,412.65
2022-10-07,409.95,411.95,405.8,411.1
2022-10-10,403.5,409.15,400.0,407.5
2022-10-11,403.0,412.45,393.9,396.05
2022-10-12,398.05,401.4,391.75,400.2
2022-10-13,411.0,416.5,400.0,401.55
2022-10-14,411.25,411.25,396.4,397.15
2022-10-17,395.05,395.9,386.3,388.3
2022-10-18,391.5,398.4,391.35,393.45
2022-10-19,394.0,398.1,389.5,390.3
2022-10-20,383.0,396.7,380.1,395.2
2022-10-21,397.2,398.05,386.25,393.75
2022-10-24,395.0,398.85,394.35,395.55
2022-10-25,394.4,402.8,391.5,398.4
2022-10-27,408.0,413.4,405.35,412.4
2022-10-28,412.5,412.5,399.75,404.95
2022-10-31,405.0,408.75,403.0,405.65
