Date,Open,High,Low,Close
2022-10-03,2723.0,2734.0,2617.55,2622.5
2022-10-04,2650.0,2676.5,2634.15,2667.95
2022-10-06,2681.3,2692.3,2605.05,2614.0
2022-10-07,2611.9,2613.0,2575.0,2599.7
2022-10-10,2570.0,2610.7,2542.0,2605.6
2022-10-11,2610.0,2610.55,2545.0,2550.65
2022-10-12,2563.45,2604.6,2554.2,2591.35
2022-10-13,2583.0,2607.15,2562.9,2566.4
2022-10-14,2590.0,2624.9,2570.2,2575.8
2022-10-17,2573.6,2609.95,2568.0,2590.55
2022-10-18,2620.0,2642.0,2597.0,2602.25
2022-10-19,2615.3,2617.5,2578.4,2583.0
2022-10-20,2568.15,2610.0,2568.15,2600.9
2022-10-21,2606.0,2666.75,2606.0,2653.9
2022-10-24,2610.1,2640.0,2550.0,2573.1
2022-10-25,2586.0,2586.0,2500.0,2505.4
2022-10-27,2494.0,2530.0,2488.0,2519.0
2022-10-28,2526.1,2550.9,2512.0,2524.25
2022-10-31,2545.0,2572.0,2542.05,2550.7
