Date,Open,High,Low,Close
2022-10-03,859.7,860.95,845.7,848.35
2022-10-04,865.0,872.65,860.1,867.65
2022-10-06,873.05,891.7,873.05,885.45
2022-10-07,877.2,884.5,872.8,882.55
2022-10-10,872.0,889.8,870.7,881.75
2022-10-11,883.25,883.25,865.45,870.6
2022-10-12,867.95,871.7,861.5,868.35
2022-10-13,862.35,865.45,850.5,853.6
2022-10-14,883.8,883.8,868.55,870.25
2022-10-17,872.0,887.5,868.55,885.2
2022-10-18,896.05,900.7,891.15,896.9
2022-10-19,900.05,900.65,885.55,892.1
2022-10-20,889.7,893.3,880.1,888.65
2022-10-21,888.0,910.0,885.7,907.15
2022-10-24,925.0,933.5,917.6,926.3
2022-10-25,942.05,943.25,922.95,925.05
2022-10-27,926.05,933.7,920.25,924.4
2022-10-28,918.0,927.5,901.0,907.85
2022-10-31,912.6,917.05,904.6,908.7
