Date,Open,High,Low,Close
2022-10-03,1178.0,1185.9,1153.05,1156.25
2022-10-04,1184.9,1222.0,1176.15,1219.25
2022-10-06,1225.0,1234.95,1197.3,1200.9
2022-10-07,1201.0,1217.85,1182.5,1213.4
2022-10-10,1193.1,1216.9,1183.25,1210.3
2022-10-11,1215.0,1215.95,1162.0,1164.6
2022-10-12,1175.05,1192.1,1156.1,1189.05
2022-10-13,1189.05,1196.75,1167.0,1184.25
2022-10-14,1201.25,1216.35,1179.2,1181.6
2022-10-17,1178.0,1203.8,1164.0,1199.65
2022-10-18,1207.0,1228.65,1203.1,1223.25
2022-10-19,1227.9,1231.7,1210.0,1218.4
2022-10-20,1214.0,1214.0,1150.1,1159.95
2022-10-21,1166.0,1169.0,1139.1,1142.25
2022-10-24,1160.0,1160.0,1143.0,1145.85
2022-10-25,1145.85,1153.05,1121.8,1137.45
2022-10-27,1150.0,1153.6,1135.2,1142.5
2022-10-28,1145.0,1161.0,1137.5,1147.0
2022-10-31,1155.0,1159.6,1138.95,1142.65
