Date,Open,High,Low,Close
2022-10-03,1412.0,1412.0,1386.0,1393.75
2022-10-04,1419.7,1432.25,1414.0,1429.4
2022-10-06,1445.0,1459.8,1444.1,1455.15
2022-10-07,1446.35,1457.85,1440.15,1451.2
2022-10-10,1426.35,1465.0,1426.35,1462.65
2022-10-11,1462.65,1479.65,1420.1,1423.8
2022-10-12,1437.0,1441.1,1413.55,1428.7
2022-10-13,1431.0,1437.95,1415.0,1419.9
2022-10-14,1485.0,1494.0,1467.25,1474.25
2022-10-17,1476.9,1495.0,1475.5,1489.95
2022-10-18,1510.0,1510.95,1497.25,1503.7
2022-10-19,1504.0,1504.95,1481.3,1485.45
2022-10-20,1475.0,1504.0,1474.2,1500.9
2022-10-21,1500.3,1506.0,1491.35,1500.5
2022-10-24,1518.5,1521.8,1511.0,1517.85
2022-10-25,1528.1,1532.9,1521.05,1526.3
2022-10-27,1530.8,1534.9,1512.5,1523.95
2022-10-28,1526.0,1527.95,1507.0,1513.25
2022-10-31,1530.25,1546.4,1530.25,1537.65
