Date,Open,High,Low,Close
2022-10-03,332.9,333.0,323.25,324.4
2022-10-04,328.7,334.0,328.0,332.85
2022-10-06,335.0,339.3,332.55,336.65
2022-10-07,336.8,336.85,331.3,334.1
2022-10-10,330.0,331.45,326.05,327.85
2022-10-11,329.0,330.45,325.1,326.3
2022-10-12,327.95,331.45,324.75,330.1
2022-10-13,329.95,331.3,328.0,328.65
2022-10-14,332.3,333.9,330.85,332.1
2022-10-17,331.1,334.75,329.6,332.25
2022-10-18,333.95,341.0,333.55,340.3
2022-10-19,343.1,347.45,339.8,346.35
2022-10-20,347.0,350.95,344.8,349.7
2022-10-21,353.2,353.2,344.5,345.6
2022-10-24,348.95,349.7,347.0,347.7
2022-10-25,349.45,349.5,343.65,346.3
2022-10-27,346.65,348.35,343.85,345.8
2022-10-28,347.55,348.6,345.1,345.8
2022-10-31,348.0,350.5,344.75,348.7
