Date,Open,High,Low,Close
2022-10-03,1808.0,1813.0,1773.3,1783.9
2022-10-04,1808.0,1827.8,1802.0,1822.25
2022-10-06,1825.0,1840.0,1811.85,1818.9
2022-10-07,1810.5,1830.0,1802.2,1825.4
2022-10-10,1801.1,1821.75,1794.55,1808.25
2022-10-11,1809.85,1809.85,1783.3,1787.9
2022-10-12,1788.0,1813.0,1780.2,1810.2
2022-10-13,1805.0,1815.9,1793.0,1801.5
2022-10-14,1828.0,1858.0,1822.5,1834.0
2022-10-17,1828.05,1862.2,1820.25,1858.15
2022-10-18,1867.45,1875.9,1855.1,1859.7
2022-10-19,1869.0,1877.45,1855.0,1869.35
2022-10-20,1860.0,1882.95,1855.35,1863.55
2022-10-21,1870.0,1925.0,1866.3,1902.65
2022-10-24,1902.5,1915.0,1890.0,1895.8
2022-10-25,1911.0,1911.6,1842.0,1846.6
2022-10-27,1883.7,1888.0,1849.45,1865.0
2022-10-28,1874.0,1894.85,1871.05,1884.25
2022-10-31,1899.0,1912.0,1889.0,1901.95
