Date,Open,High,Low,Close
2022-10-03,1852.0,1852.0,1814.0,1819.3
2022-10-04,1835.3,1880.95,1835.3,1871.55
2022-10-06,1882.0,1919.0,1878.1,1912.95
2022-10-07,1905.0,1928.95,1903.05,1924.55
2022-10-10,1905.0,1917.0,1883.5,1909.65
2022-10-11,1923.8,1923.8,1871.25,1878.95
2022-10-12,1880.0,1916.0,1858.05,1911.25
2022-10-13,1901.0,1912.0,1868.25,1876.15
2022-10-14,1900.0,1936.75,1898.45,1911.6
2022-10-17,1902.9,1914.0,1878.4,1883.2
2022-10-18,1893.1,1931.2,1893.1,1918.1
2022-10-19,1920.0,1947.0,1901.65,1904.9
2022-10-20,1898.65,1917.8,1886.3,1904.15
2022-10-21,1913.7,1925.0,1867.1,1876.75
2022-10-24,1906.0,1919.9,1900.0,1909.75
2022-10-25,1915.0,1954.65,1891.55,1949.1
2022-10-27,1952.1,1971.85,1949.9,1964.05
2022-10-28,1972.0,1986.0,1963.8,1975.05
2022-10-31,1986.0,2034.65,1978.2,2023.1
