Date,Open,High,Low,Close
2022-10-03,1269.95,1276.1,1242.05,1251.35
2022-10-04,1265.0,1277.95,1255.0,1260.35
2022-10-06,1268.0,1277.0,1254.5,1256.9
2022-10-07,1260.0,1261.95,1232.95,1238.85
2022-10-10,1234.0,1246.55,1218.0,1243.0
2022-10-11,1249.25,1249.25,1225.5,1229.55
2022-10-12,1235.65,1259.35,1230.1,1247.9
2022-10-13,1255.0,1274.15,1240.5,1248.2
2022-10-14,1267.75,1272.0,1228.0,1230.3
2022-10-17,1227.0,1238.75,1196.5,1230.0
2022-10-18,1236.15,1267.35,1233.5,1253.8
2022-10-19,1259.95,1264.8,1244.0,1248.4
2022-10-20,1241.2,1254.0,1223.55,1250.0
2022-10-21,1253.1,1268.9,1244.15,1256.75
2022-10-24,1261.0,1278.0,1261.0,1270.95
2022-10-25,1270.95,1283.85,1259.6,1281.4
2022-10-27,1283.3,1299.85,1279.05,1294.15
2022-10-28,1300.65,1315.9,1290.0,1311.65
2022-10-31,1318.25,1358.5,1316.6,1348.6
