Date,Open,High,Low,Close
2022-10-03,19117.5,19143.95,18770.0,18992.6
2022-10-04,19250.0,19350.0,19051.2,19251.85
2022-10-06,19342.1,19525.15,19237.25,19300.15
2022-10-07,19275.2,19380.0,19167.6,19321.0
2022-10-10,19100.0,19205.0,19004.95,19119.05
2022-10-11,19205.0,19214.65,18410.25,18449.95
2022-10-12,18540.0,18766.85,18449.95,18725.4
2022-10-13,18790.0,18921.65,18605.0,18763.65
2022-10-14,18958.85,19013.75,18850.0,18928.0
2022-10-17,18850.0,19060.0,18792.2,18920.15
2022-10-18,19020.0,19429.05,18990.0,19387.85
2022-10-19,19387.85,19848.0,19254.5,19739.1
2022-10-20,19719.0,20143.7,19700.0,20061.1
2022-10-21,20061.1,20350.0,19982.5,20294.95
2022-10-24,20355.0,21050.0,20350.05,20875.05
2022-10-25,20800.0,21048.8,20217.0,20282.4
2022-10-27,20468.5,20475.0,19910.0,20133.25
2022-10-28,20133.25,20371.95,20050.15,20282.45
2022-10-31,20282.45,20470.0,20150.0,20363.4
