Date,Open,High,Low,Close
2022-10-03,159.85,164.1,158.95,160.35
2022-10-04,161.95,164.0,161.35,162.55
2022-10-06,164.25,165.1,162.4,162.9
2022-10-07,163.1,164.85,161.35,164.3
2022-10-10,162.7,165.6,161.85,163.95
2022-10-11,164.4,164.4,160.3,161.05
2022-10-12,161.9,165.3,161.15,165.0
2022-10-13,164.85,166.8,164.25,164.75
2022-10-14,166.25,167.5,164.85,165.1
2022-10-17,165.1,169.05,164.0,168.45
2022-10-18,168.95,169.45,166.4,166.95
2022-10-19,166.5,168.1,163.85,164.05
2022-10-20,164.0,167.9,161.5,166.95
2022-10-21,167.5,168.45,164.5,165.05
2022-10-24,166.95,167.95,166.25,166.95
2022-10-25,167.45,169.7,165.45,169.35
2022-10-27,169.9,171.5,167.55,170.65
2022-10-28,170.65,174.7,169.9,174.05
2022-10-31,169.9,174.0,169.05,173.1
