Date,Open,High,Low,Close
2022-10-03,131.7,135.0,130.6,132.4
2022-10-04,134.9,135.0,131.8,133.9
2022-10-06,136.5,136.55,132.4,132.65
2022-10-07,132.05,134.25,131.2,134.05
2022-10-10,133.0,134.0,132.2,133.25
2022-10-11,133.25,133.5,130.25,131.1
2022-10-12,131.1,132.0,129.1,131.35
2022-10-13,131.2,131.85,127.65,129.85
2022-10-14,132.0,132.8,127.05,127.6
2022-10-17,127.0,128.2,126.0,127.8
2022-10-18,128.45,129.1,127.6,128.7
2022-10-19,128.7,128.7,127.4,127.8
2022-10-20,127.0,131.0,125.8,129.6
2022-10-21,129.35,133.4,128.75,131.55
2022-10-24,133.0,134.0,132.4,132.8
2022-10-25,132.45,132.9,129.85,130.75
2022-10-27,130.75,132.2,130.3,131.8
2022-10-28,132.1,135.6,131.8,133.7
2022-10-31,134.4,135.2,132.8,134.05
