Date,Open,High,Low,Close
2022-10-03,2391.5,2416.95,2363.0,2369.5
2022-10-04,2397.8,2418.0,2390.15,2413.2
2022-10-06,2429.0,2450.0,2418.15,2422.1
2022-10-07,2414.65,2443.9,2414.65,2432.35
2022-10-10,2405.0,2417.6,2388.0,2405.8
2022-10-11,2414.0,2414.0,2351.1,2357.9
2022-10-12,2352.0,2381.7,2343.1,2375.25
2022-10-13,2371.4,2394.0,2360.1,2382.8
2022-10-14,2415.0,2416.35,2369.1,2370.7
2022-10-17,2355.0,2414.0,2343.6,2408.75
2022-10-18,2422.0,2463.0,2420.15,2451.25
2022-10-19,2454.5,2527.85,2441.7,2493.9
2022-10-20,2485.0,2519.0,2485.0,2500.6
2022-10-21,2507.7,2516.8,2467.0,2471.6
2022-10-24,2460.0,2502.5,2455.3,2479.85
2022-10-25,2499.0,2499.0,2438.0,2441.55
2022-10-27,2458.0,2468.45,2432.8,2451.15
2022-10-28,2465.0,2535.0,2459.45,2526.15
2022-10-31,2541.0,2560.95,2532.2,2549.6
