Date,Open,High,Low,Close
2022-10-03,1255.6,1256.65,1227.85,1237.25
2022-10-04,1252.25,1265.0,1250.05,1260.65
2022-10-06,1267.0,1279.95,1242.45,1245.15
2022-10-07,1239.1,1256.9,1238.35,1243.2
2022-10-10,1230.0,1243.95,1218.05,1239.3
2022-10-11,1240.05,1243.0,1200.15,1206.35
2022-10-12,1206.0,1220.45,1200.3,1212.2
2022-10-13,1207.0,1216.55,1185.05,1187.9
2022-10-14,1201.0,1217.05,1177.6,1179.8
2022-10-17,1178.0,1198.65,1167.6,1189.8
2022-10-18,1195.75,1226.0,1193.15,1219.05
2022-10-19,1220.0,1233.8,1213.35,1227.1
2022-10-20,1220.0,1230.0,1214.0,1222.95
2022-10-21,1228.45,1250.25,1227.0,1246.35
2022-10-24,1268.95,1268.95,1238.8,1257.6
2022-10-25,1261.6,1278.6,1243.2,1254.85
2022-10-27,1255.5,1264.0,1243.55,1252.9
2022-10-28,1259.2,1265.35,1244.45,1252.8
2022-10-31,1259.1,1273.75,1255.3,1265.95
