Date,Open,High,Low,Close
2022-10-03,527.6,531.65,518.5,519.75
2022-10-04,533.0,535.8,527.8,532.7
2022-10-06,534.6,541.8,534.6,537.3
2022-10-07,535.5,535.6,526.55,530.2
2022-10-10,525.7,533.9,522.2,530.75
2022-10-11,530.75,533.7,525.5,527.4
2022-10-12,530.0,535.0,526.0,533.8
2022-10-13,533.0,533.8,520.2,521.45
2022-10-14,530.2,534.85,526.0,527.2
2022-10-17,526.4,544.7,524.2,543.65
2022-10-18,547.1,563.5,546.75,562.45
2022-10-19,563.0,563.45,551.55,553.4
2022-10-20,552.0,556.8,545.3,555.4
2022-10-21,557.25,565.8,557.25,560.85
2022-10-24,567.0,572.5,565.9,570.5
2022-10-25,572.5,586.2,568.0,578.55
2022-10-27,583.95,585.0,577.6,579.65
2022-10-28,579.95,582.65,567.0,570.75
2022-10-31,574.95,577.45,568.4,573.8
