Date,Open,High,Low,Close
2022-10-03,952.95,967.85,942.75,944.5
2022-10-04,955.7,956.3,943.05,944.55
2022-10-06,954.7,962.0,947.55,953.9
2022-10-07,953.0,961.55,946.2,955.15
2022-10-10,945.95,954.25,935.25,946.05
2022-10-11,950.8,951.9,940.0,944.75
2022-10-12,946.0,960.0,941.05,955.55
2022-10-13,956.85,973.75,951.5,968.4
2022-10-14,976.0,979.9,964.0,976.3
2022-10-17,976.3,985.0,973.3,980.0
2022-10-18,983.75,985.0,972.75,978.35
2022-10-19,975.6,980.7,965.05,976.9
2022-10-20,970.0,982.85,966.55,980.35
2022-10-21,981.0,991.9,975.75,977.7
2022-10-24,986.0,989.95,982.1,987.0
2022-10-25,991.95,997.35,985.5,991.55
2022-10-27,999.0,1013.4,992.5,1011.65
2022-10-28,1002.0,1003.5,987.55,990.0
2022-10-31,994.95,1027.3,991.2,1016.9
