Date,Open,High,Low,Close
2022-10-03,802.85,804.8,776.0,777.95
2022-10-04,786.75,792.45,781.2,785.15
2022-10-06,790.0,799.6,784.1,794.3
2022-10-07,787.9,793.9,779.05,780.9
2022-10-10,769.25,775.05,755.0,757.15
2022-10-11,758.0,759.85,740.25,742.6
2022-10-12,745.5,759.0,738.8,757.35
2022-10-13,754.95,760.2,749.15,757.4
2022-10-14,768.95,768.95,760.0,761.25
2022-10-17,761.25,771.95,757.3,763.15
2022-10-18,767.0,776.0,763.55,774.35
2022-10-19,774.45,777.0,761.1,764.55
2022-10-20,761.55,772.0,755.5,770.7
2022-10-21,773.0,780.85,755.05,761.65
2022-10-24,770.0,776.0,764.85,770.95
2022-10-25,770.0,776.8,764.65,766.95
2022-10-27,774.75,779.5,759.6,770.05
2022-10-28,773.45,773.45,759.5,761.35
2022-10-31,765.2,772.45,761.9,770.15
