Date,Open,High,Low,Close
2022-10-03,405.5,406.55,395.5,397.65
2022-10-04,406.0,408.95,402.9,407.9
2022-10-06,409.6,417.65,409.5,414.1
2022-10-07,413.4,414.0,408.7,412.15
2022-10-10,403.4,403.4,393.05,395.95
2022-10-11,397.0,399.5,391.3,393.35
2022-10-12,394.55,398.2,391.1,396.55
2022-10-13,396.55,403.5,394.55,399.0
2022-10-14,407.0,409.2,395.3,396.25
2022-10-17,394.0,398.9,392.5,396.1
2022-10-18,401.0,406.7,400.7,404.25
2022-10-19,406.2,406.95,397.3,399.05
2022-10-20,397.0,399.9,393.1,398.1
2022-10-21,397.0,402.25,394.7,398.05
2022-10-24,406.0,406.0,400.15,401.6
2022-10-25,404.35,410.5,403.2,404.55
2022-10-27,408.55,411.7,404.0,407.7
2022-10-28,408.0,411.2,406.1,409.9
2022-10-31,414.35,416.3,411.6,412.75
