Date,Open,High,Low,Close
2022-10-03,99.6,99.65,98.0,98.35
2022-10-04,100.3,101.5,100.0,101.15
2022-10-06,102.0,103.8,101.75,103.55
2022-10-07,103.3,103.5,101.9,103.3
2022-10-10,102.0,103.5,101.15,103.2
2022-10-11,103.55,103.65,99.8,100.35
2022-10-12,100.35,101.2,99.0,100.55
2022-10-13,101.1,101.8,98.8,100.1
2022-10-14,101.85,102.8,99.9,100.1
2022-10-17,99.75,100.4,98.1,99.55
2022-10-18,100.3,101.0,99.8,100.65
2022-10-19,100.6,101.25,99.7,100.05
2022-10-20,99.5,101.2,98.8,100.9
2022-10-21,100.85,101.45,99.35,100.2
2022-10-24,102.0,102.1,101.0,101.2
2022-10-25,101.15,102.5,100.7,101.2
2022-10-27,102.25,104.65,102.05,104.2
2022-10-28,104.1,104.6,100.8,101.6
2022-10-31,101.9,102.15,100.3,101.55
