Date,Open,High,Low,Close
2022-10-03,2995.0,3020.7,2974.0,2984.95
2022-10-04,3029.95,3098.0,3023.0,3091.15
2022-10-06,3111.0,3124.0,3092.45,3101.95
2022-10-07,3097.4,3105.0,3058.1,3064.9
2022-10-10,3010.0,3127.0,3005.0,3118.55
2022-10-11,3100.0,3145.0,3053.35,3069.55
2022-10-12,3084.9,3109.9,3062.05,3100.75
2022-10-13,3100.75,3110.0,3052.35,3103.3
2022-10-14,3145.0,3150.0,3071.0,3099.15
2022-10-17,3072.65,3128.4,3071.45,3111.75
2022-10-18,3150.0,3155.35,3128.55,3144.7
2022-10-19,3159.0,3159.0,3112.0,3121.85
2022-10-20,3105.0,3160.0,3105.0,3157.3
2022-10-21,3157.8,3160.4,3127.0,3137.4
2022-10-24,3170.1,3178.0,3155.0,3161.7
2022-10-25,3180.5,3184.25,3151.15,3162.1
2022-10-27,3160.7,3174.0,3134.35,3157.4
2022-10-28,3150.0,3178.5,3145.0,3163.25
2022-10-31,3199.0,3199.0,3177.8,3193.15
