Date,Open,High,Low,Close
2022-10-03,6286.4,6355.3,6229.2,6242.55
2022-10-04,6348.9,6381.85,6280.15,6307.55
2022-10-06,6340.0,6366.85,6257.5,6287.25
2022-10-07,6300.0,6307.2,6133.4,6203.5
2022-10-10,6156.2,6173.25,6120.0,6149.9
2022-10-11,6180.65,6205.0,6060.6,6076.75
2022-10-12,6085.0,6190.0,6057.8,6177.7
2022-10-13,6172.0,6216.0,6101.0,6181.75
2022-10-14,6260.0,6260.0,6169.0,6192.0
2022-10-17,6170.0,6281.8,6082.2,6271.5
2022-10-18,6305.0,6444.0,6290.25,6346.75
2022-10-19,6348.1,6446.0,6250.1,6398.4
2022-10-20,6340.0,6413.0,6277.0,6302.3
2022-10-21,6315.6,6421.0,6315.6,6362.9
2022-10-24,6440.0,6444.0,6370.35,6394.6
2022-10-25,6420.0,6474.0,6387.2,6415.7
2022-10-27,6474.0,6474.0,6372.0,6436.8
2022-10-28,6442.0,6470.0,6406.5,6445.85
2022-10-31,6478.1,6730.9,6454.75,6714.95
