Date,Open,High,Low,Close
2022-10-03,671.2,681.8,664.0,665.1
2022-10-04,678.0,691.7,674.0,689.95
2022-10-06,691.0,694.85,683.5,686.0
2022-10-07,685.0,699.9,683.95,690.45
2022-10-10,680.0,686.8,677.5,683.0
2022-10-11,686.45,686.45,660.2,664.15
2022-10-12,665.0,675.55,660.7,673.6
2022-10-13,675.0,676.5,662.1,663.9
2022-10-14,674.0,687.6,672.0,678.3
2022-10-17,679.6,684.0,671.8,678.05
2022-10-18,681.45,689.05,680.0,682.05
2022-10-19,685.0,689.1,675.6,676.8
2022-10-20,675.0,715.8,666.9,713.5
2022-10-21,712.7,724.0,696.8,700.2
2022-10-24,711.0,714.7,702.85,708.1
2022-10-25,709.95,709.95,691.15,694.45
2022-10-27,701.4,709.0,695.8,706.45
2022-10-28,707.0,715.9,703.45,713.9
2022-10-31,717.5,732.0,711.0,730.2
