Date,Open,High,Low,Close
2022-10-03,393.9,398.0,390.6,394.5
2022-10-04,399.95,406.0,399.0,405.5
2022-10-06,409.35,413.0,407.45,410.15
2022-10-07,409.8,411.75,406.25,408.1
2022-10-10,400.3,413.5,399.75,411.3
2022-10-11,414.9,417.9,402.3,404.4
2022-10-12,404.25,409.6,401.6,407.95
2022-10-13,387.0,392.35,378.1,379.1
2022-10-14,387.0,387.5,376.25,377.3
2022-10-17,377.3,378.95,372.4,375.1
2022-10-18,383.7,384.25,378.4,379.3
2022-10-19,381.2,381.2,377.05,378.05
2022-10-20,377.0,382.6,376.0,381.5
2022-10-21,382.5,383.3,380.2,382.55
2022-10-24,386.4,386.4,384.0,384.7
2022-10-25,386.45,386.45,383.65,384.65
2022-10-27,386.0,386.95,381.1,382.65
2022-10-28,382.8,385.85,382.0,383.25
2022-10-31,386.55,388.4,384.75,386.55
