Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-10-12,ADANIENT,EQ,3273.95,3297.0,3297.0,3145.0,3228.0,3223.65,3207.73,2972601,953529772945000.1,123910,397904,0.13390000000000002
2022-10-21,ADANIPORTS,EQ,820.05,824.2,824.2,799.4,800.6,801.65,809.89,5266210,426504090340000.0,74054,1428737,0.33170000000000005
2022-10-11,APOLLOHOSP,EQ,4340.6,4362.35,4362.35,4263.65,4278.0,4275.55,4282.77,258216,110587993334999.98,29037,106718,0.4133
2022-10-27,ASIANPAINT,EQ,3084.9,3123.0,3123.0,3033.0,3050.95,3043.45,3057.91,2005709,613326951615000.0,127839,1304649,0.6505
2022-10-11,BAJAJ-AUTO,EQ,3616.95,3635.05,3635.05,3519.6,3525.0,3528.75,3568.08,258827,92351668475000.0,30216,128336,0.4958
2022-10-27,BAJAJ-AUTO,EQ,3654.1,3690.6,3690.6,3606.15,3625.0,3622.3,3633.2,333703,121241030850000.0,25893,179893,0.5391
2022-10-21,BAJFINANCE,EQ,7432.4,7490.0,7490.0,7153.05,7180.0,7192.75,7286.42,2386960,1739240472480000.0,189423,860009,0.40990000000000004
2022-10-24,BAJFINANCE,EQ,7192.75,7310.0,7310.0,7190.0,7217.6,7206.5,7227.5,227884,164703202410000.0,25612,82701,0.3629
2022-10-25,BAJFINANCE,EQ,7206.5,7242.55,7242.55,7090.0,7095.0,7102.9,7134.76,909899,649191371875000.0,94104,356276,0.39159999999999995
2022-10-03,BAJAJFINSV,EQ,1678.35,1686.0,1686.0,1638.0,1645.0,1646.6,1665.05,1464138,243785957265000.0,68215,412311,0.2816
2022-10-14,BAJAJFINSV,EQ,1681.75,1709.0,1709.0,1685.1,1690.0,1688.3,1695.57,1239168,210109918515000.0,44289,387881,0.313
2022-10-11,BPCL,EQ,304.65,306.2,306.2,299.15,300.15,299.75,301.54,2652669,79988358790000.0,55481,1425085,0.5372
2022-10-11,BHARTIARTL,EQ,792.35,797.5,797.5,776.0,778.1,780.3,786.72,3699862,291074718785000.0,88508,2047994,0.5535
2022-10-14,BHARTIARTL,EQ,768.9,779.95,779.95,763.05,766.5,765.95,772.16,3608210,278610055380000.03,85709,2176149,0.6031000000000001
2022-10-17,BRITANNIA,EQ,3796.25,3801.9,3801.9,3752.55,3780.05,3777.7,3775.53,93315,35231353885000.0,13183,38823,0.41600000000000004
2022-10-06,CIPLA,EQ,1144.65,1150.4,1150.4,1124.0,1135.0,1134.45,1132.28,1561938,176855704225000.0,79922,794298,0.5085000000000001
2022-10-11,COALINDIA,EQ,229.85,230.95,230.95,224.0,224.5,225.45,227.86,19154740,436468878970000.0,85289,12997191,0.6785
2022-10-14,COALINDIA,EQ,234.55,238.95,238.95,235.35,236.35,236.35,236.65,6241886,147717270785000.0,57620,2849161,0.4565
2022-10-11,DIVISLAB,EQ,3686.6,3705.05,3705.05,3490.0,3500.25,3502.2,3552.34,1492286,530110607450000.0,132162,719203,0.4819
2022-10-24,DIVISLAB,EQ,3571.4,3629.9,3629.9,3585.0,3611.6,3612.45,3609.13,47320,17078419000000.0,6771,17885,0.378
2022-10-27,DIVISLAB,EQ,3597.15,3634.0,3634.0,3597.45,3629.95,3621.05,3619.16,391000,141509295165000.0,39782,267778,0.6849
2022-10-28,DIVISLAB,EQ,3621.05,3639.2,3639.2,3540.0,3546.5,3547.5,3562.08,375361,133706507459999.98,40557,124956,0.5504
2022-10-24,EICHERMOT,EQ,3629.5,3684.9,3684.9,3630.6,3637.0,3641.2,3655.38,63729,23295401500000.0,6536,19307,0.303
2022-10-27,EICHERMOT,EQ,3710.65,3741.05,3741.05,3661.0,3698.75,3710.65,3695.04,583285,215526283650000.0,42567,230992,0.396
2022-10-19,HCLTECH,EQ,1009.2,1006.5,1006.5,994.0,995.95,995.65,999.1,2517099,251483678219999.97,90778,1681843,0.6681999999999999
2022-10-03,HDFCLIFE,EQ,530.45,530.55,530.55,518.05,518.4,518.7,522.1,2951085,154076100985000.0,79947,1792801,0.6075
2022-10-14,HDFCLIFE,EQ,520.65,534.4,534.4,521.8,522.7,523.0,525.7,2214367,116408268880000.0,41922,953159,0.4304
2022-10-10,HEROMOTOCO,EQ,2624.95,2599.8,2599.8,2531.4,2571.75,2570.5,2555.82,1076512,275137068169999.97,71675,581129,0.5398
2022-10-19,HEROMOTOCO,EQ,2562.0,2574.0,2574.0,2532.2,2543.0,2541.2,2549.77,375698,95794246790000.0,35898,183435,0.4883
2022-10-14,HINDALCO,EQ,401.55,411.25,411.25,396.4,398.7,397.15,403.64,6115990,246864927935000.0,69559,1969100,0.322
2022-10-28,HINDALCO,EQ,412.4,412.5,412.5,399.75,404.5,404.95,404.53,6569623,265762032750000.0,74915,2264332,0.4865
2022-10-25,HINDUNILVR,EQ,2573.1,2586.0,2586.0,2500.0,2504.0,2505.4,2521.62,2923789,737267430575000.0,132117,2072413,0.7088
2022-10-21,HDFC,EQ,2369.2,2378.8,2378.8,2342.0,2357.0,2349.9,2360.35,3242255,765286562315000.0,79965,1869778,0.7265
2022-10-11,ICICIBANK,EQ,881.75,883.25,883.25,865.45,866.55,870.6,875.95,11130051,974934147760000.0,161261,7571458,0.6803
2022-10-14,ICICIBANK,EQ,853.6,883.8,883.8,868.55,872.0,870.25,872.33,8199540,715273056825000.0,142205,4561607,0.5563
2022-10-21,ITC,EQ,349.7,353.2,353.2,344.5,344.85,345.6,348.85,27372160,954879389100000.0,192007,11013104,0.43560000000000004
2022-10-20,INDUSINDBK,EQ,1218.4,1214.0,1214.0,1150.1,1158.0,1159.95,1168.12,11242103,1313211020290000.0,258503,4567204,0.40630000000000005
2022-10-24,INDUSINDBK,EQ,1142.25,1160.0,1160.0,1143.0,1144.0,1145.85,1147.97,674170,77392826865000.0,16578,234041,0.3472
2022-10-03,INFY,EQ,1413.45,1412.0,1412.0,1386.0,1393.75,1393.75,1398.82,4943169,691459002980000.0,164361,2890909,0.5848
2022-10-03,JSWSTEEL,EQ,631.65,631.0,631.0,621.25,623.5,623.55,624.97,1285991,80370687945000.0,34051,310845,0.24170000000000003
2022-10-11,JSWSTEEL,EQ,666.0,669.35,669.35,640.0,640.4,642.75,651.01,1644047,107028293240000.0,44346,470501,0.2862
2022-10-19,JSWSTEEL,EQ,636.75,639.95,639.95,625.0,625.3,625.9,630.27,2157157,135958205870000.0,31222,407249,0.1888
2022-10-11,KOTAKBANK,EQ,1808.25,1809.85,1809.85,1783.3,1786.35,1787.9,1796.8,1496718,268929714485000.0,74868,921504,0.6157
2022-10-03,LT,EQ,1847.7,1852.0,1852.0,1814.0,1822.3,1819.3,1825.16,1850414,337729431255000.0,105296,1196908,0.6468
2022-10-11,LT,EQ,1909.65,1923.8,1923.8,1871.25,1874.65,1878.95,1898.68,1047963,198974958250000.0,69146,665968,0.6355
2022-10-11,M&M,EQ,1243.0,1249.25,1249.25,1225.5,1228.1,1229.55,1236.45,1569478,194058351800000.0,112840,809327,0.5157
2022-10-03,MARUTI,EQ,8828.15,8970.0,8970.0,8510.0,8569.0,8547.0,8624.96,1123076,968648836370000.1,123632,584513,0.5205
2022-10-24,MARUTI,EQ,8703.3,8788.8,8788.8,8745.85,8760.0,8765.45,8767.89,30052,26349265825000.0,5352,9272,0.3085
2022-10-11,NTPC,EQ,163.95,164.4,164.4,160.3,161.15,161.05,162.01,13805741,223666248169999.97,57853,9263799,0.6709999999999999
2022-10-19,ONGC,EQ,128.7,128.7,128.7,127.4,127.5,127.8,128.0,7381712,94485474815000.0,54399,3368487,0.45630000000000004
2022-10-14,POWERGRID,EQ,213.95,218.0,218.0,211.55,213.0,212.65,214.03,17523893,375056821550000.0,99965,12756462,0.7279000000000001
2022-10-11,RELIANCE,EQ,2405.8,2414.0,2414.0,2351.1,2353.55,2357.9,2377.84,4252803,1011249255510000.0,197213,2480007,0.5831000000000001
2022-10-25,RELIANCE,EQ,2479.85,2499.0,2499.0,2438.0,2441.8,2441.55,2465.38,5645639,1391862942780000.0,199350,3473856,0.6153000000000001
2022-10-24,SBILIFE,EQ,1246.35,1268.95,1268.95,1238.8,1258.1,1257.6,1254.07,157253,19720657250000.0,8706,42753,0.27190000000000003
2022-10-19,TCS,EQ,3144.7,3159.0,3159.0,3112.0,3117.3,3121.85,3129.01,1194289,373693820400000.0,72626,640341,0.5362
2022-10-31,TCS,EQ,3163.25,3199.0,3199.0,3177.8,3180.25,3193.15,3191.67,1919414,612613800120000.0,94303,1357025,0.7070000000000001
2022-10-14,TATACONSUM,EQ,757.4,768.95,768.95,760.0,760.1,761.25,764.34,1278730,97738770475000.0,35158,695385,0.5438000000000001
2022-10-28,TATACONSUM,EQ,770.05,773.45,773.45,759.5,761.4,761.35,761.88,1598314,121772048034999.98,36149,813213,0.7179000000000001
2022-10-10,TATAMOTORS,EQ,412.15,403.4,403.4,393.05,396.55,395.95,396.05,32914630,1303587636835000.0,383835,12262312,0.3725
2022-10-24,TATAMOTORS,EQ,398.05,406.0,406.0,400.15,402.3,401.6,402.04,2871205,115433770580000.0,71959,1308292,0.4557
2022-10-28,TECHM,EQ,1075.85,1081.0,1081.0,1045.05,1048.75,1048.95,1057.2,1542568,163079791005000.0,49744,461613,0.47509999999999997
2022-10-03,TITAN,EQ,2606.95,2625.0,2625.0,2555.6,2577.3,2574.2,2580.15,1049142,270694295950000.0,77964,419236,0.3996
2022-10-04,TITAN,EQ,2574.2,2629.0,2629.0,2571.65,2579.0,2585.1,2590.07,1291070,334396711020000.0,107630,754511,0.5844
2022-10-25,TITAN,EQ,2683.9,2697.35,2697.35,2662.0,2669.55,2670.3,2674.07,505759,135243459440000.02,37515,240529,0.4756
