Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-10-24,BHARTIARTL,EQ,797.45,800.0,807.5,800.0,800.1,802.1,804.21,522406,42012191385000.0,21705,226296,0.43320000000000003
2022-10-10,CIPLA,EQ,1130.5,1110.0,1131.5,1110.0,1120.0,1118.85,1119.0,1583891,177237672075000.0,51481,970625,0.6128
2022-10-12,COALINDIA,EQ,225.45,225.55,233.0,225.55,232.05,232.1,230.8,9256951,213648959520000.0,79384,2144961,0.23170000000000002
2022-10-03,DIVISLAB,EQ,3705.2,3700.0,3797.0,3700.0,3721.0,3726.85,3760.48,549563,206662116310000.0,47481,197039,0.35850000000000004
2022-10-17,DIVISLAB,EQ,3572.8,3550.0,3602.8,3550.0,3578.45,3578.55,3582.31,211512,75770212885000.0,21480,107743,0.5094
2022-10-31,DIVISLAB,EQ,3547.5,3567.45,3620.0,3567.45,3607.2,3608.9,3597.03,356104,128091692940000.02,27452,223632,0.628
2022-10-06,HCLTECH,EQ,946.0,955.5,967.95,955.5,964.0,964.55,963.62,3713623,357853627260000.0,115383,2627530,0.7075
2022-10-10,HCLTECH,EQ,957.7,942.2,967.15,942.2,963.95,963.25,954.49,2758812,263325084605000.03,91895,1661270,0.6022
2022-10-12,HCLTECH,EQ,938.6,943.3,963.9,943.3,953.0,952.0,955.41,3502390,334622466860000.0,125690,1453032,0.41490000000000005
2022-10-24,HDFCBANK,EQ,1438.6,1454.3,1463.0,1454.3,1458.85,1461.05,1460.44,1083897,158296257275000.0,44924,466892,0.4308
2022-10-04,HDFCLIFE,EQ,518.7,522.2,533.1,522.2,531.9,531.95,529.93,2257640,119639741195000.0,62164,1363672,0.604
2022-10-12,HDFCLIFE,EQ,522.55,520.1,528.6,520.1,525.95,526.6,524.88,1768526,92826739715000.0,43048,783289,0.4429
2022-10-20,HINDUNILVR,EQ,2583.0,2568.15,2610.0,2568.15,2593.9,2600.9,2599.53,1428125,371245428925000.0,71501,1010887,0.7078
2022-10-21,HINDUNILVR,EQ,2600.9,2606.0,2666.75,2606.0,2652.6,2653.9,2646.98,2458302,650708025345000.0,81292,1272044,0.6448999999999999
2022-10-14,HDFC,EQ,2283.25,2305.0,2359.0,2305.0,2349.8,2343.5,2339.72,3867131,904801894895000.1,103936,2389704,0.618
2022-10-24,HDFC,EQ,2349.9,2387.35,2400.0,2387.35,2392.2,2393.0,2394.78,327385,78401544280000.0,15219,168909,0.5159
2022-10-06,ICICIBANK,EQ,867.65,873.05,891.7,873.05,885.4,885.45,884.75,12116698,1072028923400000.0,231402,7422223,0.6126
2022-10-10,INFY,EQ,1451.2,1426.35,1465.0,1426.35,1465.0,1462.65,1449.12,5274677,764364878660000.0,202762,3428076,0.6498999999999999
2022-10-31,INFY,EQ,1513.25,1530.25,1546.4,1530.25,1539.25,1537.65,1537.8,4542336,698521043560000.0,136286,2526360,0.5562
2022-10-06,JSWSTEEL,EQ,643.2,648.4,678.0,648.4,675.0,674.45,667.88,3704140,247393589090000.0,74085,741895,0.2003
2022-10-25,JSWSTEEL,EQ,629.6,624.2,650.95,624.2,644.3,644.35,641.86,4787246,307272355385000.0,73360,1113257,0.2325
2022-10-04,LT,EQ,1819.3,1835.3,1880.95,1835.3,1873.0,1871.55,1866.69,1637532,305676066605000.0,89225,1028072,0.6278
2022-10-18,LT,EQ,1883.2,1893.1,1931.2,1893.1,1919.0,1918.1,1918.49,1401849,268943431080000.03,72912,688505,0.4911
2022-10-24,M&M,EQ,1256.75,1261.0,1278.0,1261.0,1270.0,1270.95,1271.62,318933,40556068600000.0,15427,122989,0.38560000000000005
2022-10-07,POWERGRID,EQ,206.3,204.0,209.75,204.0,209.3,209.4,206.56,10712138,221271290969999.97,67550,4126370,0.38520000000000004
2022-10-07,RELIANCE,EQ,2422.1,2414.65,2443.9,2414.65,2431.95,2432.35,2431.89,3560167,865794013220000.1,119485,1945241,0.5464
2022-10-20,RELIANCE,EQ,2493.9,2485.0,2519.0,2485.0,2496.05,2500.6,2502.71,4022919,1006819755285000.0,152697,1994838,0.49590000000000006
2022-10-06,SBIN,EQ,532.7,534.6,541.8,534.6,537.35,537.3,538.44,9507322,511910213760000.06,183101,4430981,0.4661
2022-10-21,SBIN,EQ,555.4,557.25,565.8,557.25,561.65,560.85,562.7,11767639,662164812080000.0,198859,4151059,0.39640000000000003
2022-10-20,TCS,EQ,3121.85,3105.0,3160.0,3105.0,3157.95,3157.3,3144.51,1587601,499222769310000.06,94048,929125,0.5852
2022-10-21,ULTRACEMCO,EQ,6302.3,6315.6,6421.0,6315.6,6372.0,6362.9,6382.94,307899,196530046840000.0,36355,105368,0.38439999999999996
2022-11-07,BRITANNIA,EQ,3804.2,3930.05,4190.0,3930.05,4125.0,4139.25,4141.96,3142443,1301587581300000.0,182322,1054584,0.3356
2022-11-07,TATAMOTORS,EQ,425.35,428.25,437.5,428.25,435.0,435.0,432.99,15058076,652002523295000.0,142616,4872207,0.3236
2022-10-24,BHARTIARTL,EQ,797.45,800.0,807.5,800.0,800.1,802.1,804.21,522406,42012191385000.0,21705,226296,0.43320000000000003
2022-10-10,CIPLA,EQ,1130.5,1110.0,1131.5,1110.0,1120.0,1118.85,1119.0,1583891,177237672075000.0,51481,970625,0.6128
2022-10-12,COALINDIA,EQ,225.45,225.55,233.0,225.55,232.05,232.1,230.8,9256951,213648959520000.0,79384,2144961,0.23170000000000002
2022-10-03,DIVISLAB,EQ,3705.2,3700.0,3797.0,3700.0,3721.0,3726.85,3760.48,549563,206662116310000.0,47481,197039,0.35850000000000004
2022-10-17,DIVISLAB,EQ,3572.8,3550.0,3602.8,3550.0,3578.45,3578.55,3582.31,211512,75770212885000.0,21480,107743,0.5094
2022-10-31,DIVISLAB,EQ,3547.5,3567.45,3620.0,3567.45,3607.2,3608.9,3597.03,356104,128091692940000.02,27452,223632,0.628
2022-10-06,HCLTECH,EQ,946.0,955.5,967.95,955.5,964.0,964.55,963.62,3713623,357853627260000.0,115383,2627530,0.7075
2022-10-10,HCLTECH,EQ,957.7,942.2,967.15,942.2,963.95,963.25,954.49,2758812,263325084605000.03,91895,1661270,0.6022
2022-10-12,HCLTECH,EQ,938.6,943.3,963.9,943.3,953.0,952.0,955.41,3502390,334622466860000.0,125690,1453032,0.41490000000000005
2022-10-24,HDFCBANK,EQ,1438.6,1454.3,1463.0,1454.3,1458.85,1461.05,1460.44,1083897,158296257275000.0,44924,466892,0.4308
2022-10-04,HDFCLIFE,EQ,518.7,522.2,533.1,522.2,531.9,531.95,529.93,2257640,119639741195000.0,62164,1363672,0.604
2022-10-12,HDFCLIFE,EQ,522.55,520.1,528.6,520.1,525.95,526.6,524.88,1768526,92826739715000.0,43048,783289,0.4429
2022-10-20,HINDUNILVR,EQ,2583.0,2568.15,2610.0,2568.15,2593.9,2600.9,2599.53,1428125,371245428925000.0,71501,1010887,0.7078
2022-10-21,HINDUNILVR,EQ,2600.9,2606.0,2666.75,2606.0,2652.6,2653.9,2646.98,2458302,650708025345000.0,81292,1272044,0.6448999999999999
2022-10-14,HDFC,EQ,2283.25,2305.0,2359.0,2305.0,2349.8,2343.5,2339.72,3867131,904801894895000.1,103936,2389704,0.618
2022-10-24,HDFC,EQ,2349.9,2387.35,2400.0,2387.35,2392.2,2393.0,2394.78,327385,78401544280000.0,15219,168909,0.5159
2022-10-06,ICICIBANK,EQ,867.65,873.05,891.7,873.05,885.4,885.45,884.75,12116698,1072028923400000.0,231402,7422223,0.6126
2022-10-10,INFY,EQ,1451.2,1426.35,1465.0,1426.35,1465.0,1462.65,1449.12,5274677,764364878660000.0,202762,3428076,0.6498999999999999
2022-10-31,INFY,EQ,1513.25,1530.25,1546.4,1530.25,1539.25,1537.65,1537.8,4542336,698521043560000.0,136286,2526360,0.5562
2022-10-06,JSWSTEEL,EQ,643.2,648.4,678.0,648.4,675.0,674.45,667.88,3704140,247393589090000.0,74085,741895,0.2003
2022-10-25,JSWSTEEL,EQ,629.6,624.2,650.95,624.2,644.3,644.35,641.86,4787246,307272355385000.0,73360,1113257,0.2325
2022-10-04,LT,EQ,1819.3,1835.3,1880.95,1835.3,1873.0,1871.55,1866.69,1637532,305676066605000.0,89225,1028072,0.6278
2022-10-18,LT,EQ,1883.2,1893.1,1931.2,1893.1,1919.0,1918.1,1918.49,1401849,268943431080000.03,72912,688505,0.4911
2022-10-24,M&M,EQ,1256.75,1261.0,1278.0,1261.0,1270.0,1270.95,1271.62,318933,40556068600000.0,15427,122989,0.38560000000000005
2022-10-07,POWERGRID,EQ,206.3,204.0,209.75,204.0,209.3,209.4,206.56,10712138,221271290969999.97,67550,4126370,0.38520000000000004
2022-10-07,RELIANCE,EQ,2422.1,2414.65,2443.9,2414.65,2431.95,2432.35,2431.89,3560167,865794013220000.1,119485,1945241,0.5464
2022-10-20,RELIANCE,EQ,2493.9,2485.0,2519.0,2485.0,2496.05,2500.6,2502.71,4022919,1006819755285000.0,152697,1994838,0.49590000000000006
2022-10-06,SBIN,EQ,532.7,534.6,541.8,534.6,537.35,537.3,538.44,9507322,511910213760000.06,183101,4430981,0.4661
2022-10-21,SBIN,EQ,555.4,557.25,565.8,557.25,561.65,560.85,562.7,11767639,662164812080000.0,198859,4151059,0.39640000000000003
2022-10-20,TCS,EQ,3121.85,3105.0,3160.0,3105.0,3157.95,3157.3,3144.51,1587601,499222769310000.06,94048,929125,0.5852
2022-10-21,ULTRACEMCO,EQ,6302.3,6315.6,6421.0,6315.6,6372.0,6362.9,6382.94,307899,196530046840000.0,36355,105368,0.38439999999999996
